id,ebay_gmv
15984,4460.04
17467,323037.01
28199,146654.45
28361,12500.47
40906,1263.96
49654,23889.15
51831,948.34
52534,6957.75
113421,12521.75
120467,287559.57
127122,88303.21
145863,453476.22
168856,84077.89
292652,192616.5
315619,17897.77
465384,393010.9
703586,5722.96
777945,2061744.07
839330,9777.78
951337,101059.82
987225,6543.81
1176223,100370.11
1481832,266626.75
1549818,25059.77
1644190,4617.1
2482111,76369.01
4130067,245077.87
4366095,142240.09
4369027,250502
4439381,6376.73
4479487,76410.51
4500801,6216.77
4504025,4961.96
4522105,224759.24
4625185,4187.51
4815033,24763.58
4877481,70293.9
5327749,261446.57
5483313,294037.21
5792029,904476.1
5880051,64033.7
6083377,66345.74
6430185,32725.8
6681329,4537.48
6743011,50164.67
6833369,212113.46
6878037,10399.44
6992439,2125.14
7269347,101718.2
7332067,16898.68
7647921,23947.12
7706077,222581.9
8111643,2545.19
8223861,28871.4
8571135,71957.79
8631771,5232.44
8678633,215407.09
8691111,28726.56
8733609,189198.58
8766229,116710.31
8802849,377405.5
8976055,1372758.87
9104653,277851.18
9231439,4958.74
9301681,297277
9435705,437149.55
9458381,9341.22
9502409,52354.22
9634775,41881.11
9643285,412653.06
9678861,58479.92
9722307,5060433.78
9783620,17933.16
9790193,144303.9
9809905,9204.44
9975221,350899.94
9975502,44443.88
9981811,1334248.51
10056647,1315.11
10123775,8850.49
10146218,329337.67
10400474,15438.09
10522484,228144.89
10594395,2061.59
10660150,54439.95
10706524,148305.25
10954904,11097.22
11082674,74473
11093553,46585.88
11109252,44748.83
11182769,39105.98
11328699,3269.4
11348925,24042.84
11439305,293961.83
11463286,4877.69
11586609,2052287.28
11719854,23384.49
11873118,23843.41
11928456,39874.6
11980228,60132.73
12028941,508054.77
12031456,32096.33
12096032,18573.97
12102905,4620.51
12123305,486949.64
12146156,808949.75
12169649,129261.81
12227450,5512
12309480,15065.08
12310570,60879.7
12371118,207053.55
12396295,890.4
12752919,21771.5
12834914,4221.18
12852648,21466.57
12860188,40909.38
12876779,26583.11
12923019,27613.6
13062658,2076.35
13066072,14360.13
13143352,3566.85
13217828,930310.55
13230949,50771.69
13451527,28492.78
13539469,65301.67
13599113,34781.74
13601863,12162
13759678,310557.05
13872568,118106.37
13892734,13944.48
13902989,1683994.38
13952759,11129.89
14083009,47825.26
14131503,235
14136825,75306.69
14203597,111994.07
14256080,14685.8
14341500,1249
14510985,43840.59
14533899,12027.65
14550838,1296837.94
14577925,57340.15
14654032,28228.95
14656240,60254
14657892,40650.45
14668278,612.72
14943394,66754.36
15045937,8493.36
15047597,10683.25
15081311,9045.6
15377068,21781.83
15429321,131184.93
15723135,27647.6
15745984,4165.3
16097507,517411.05
16107318,51195.34
16114437,178522.55
16134945,141540.41
16241905,33922.64
16520612,163044.59
16557591,39313.93
16888728,605123.21
17012419,397418.52
17109719,46379.88
18079342,64486.12
18361579,2494.74
18527067,274040.02
18612616,6766.09
18698986,23622.71
18918111,2360.73
18975842,224133.99
18991621,48783.43
19171705,32990.81
19215142,564.86
19262349,4625.57
19285203,2243.95
19423611,412739.96
19440769,48217.98
19478033,3061
19482173,12834.27
19495323,29648.95
19590082,2305849.44
19643271,118905.65
19671233,12870.72
19877374,12218.36
19877587,27904.36
19954369,26320.92
20048790,9796.71
20090013,6536.97
20101745,4477.96
20102310,8960.76
20116812,9171.99
20131265,142078.35
20230533,3033.79
20300176,899.75
20312815,27963.81
20437879,6203.65
20438242,70135.75
20483307,382010.68
20536507,13913.75
20543582,340166.27
20612997,49819.91
20670810,214039.8
20676694,86894.9
20681322,28222.06
20691510,323.21
20705449,131335.14
20735621,10720.17
20818925,16918
20831547,17761.12
21004165,12559.56
21138048,631869.61
21286563,403787.14
21332511,2828.71
21361000,10687.25
21370187,3721
21414467,20006.29
21549291,50386.5
21555759,11472.58
21634133,9821.53
21766508,393556.7
21791768,25
21801418,138867.18
22049496,28329.69
22059625,104447.48
22068784,330679
22074643,85128.95
22408225,2124.37
22463766,12327.54
22488614,9713.64
22516513,13829792.64
22939805,47724.08
23061647,2549.25
23148429,7580
23160857,895565.23
23165801,4735166.88
23178689,118190.8
23215191,75476.52
23310251,50142.29
23422256,1881628.49
23428653,249123.27
23527266,261858.43
23557585,30474.27
23608041,249.88
23617583,102943.09
23686643,25285.14
23831799,323530.47
23912605,60821.03
23943352,31852.1
24023779,71271.81
24024943,2403.7
24029440,47495.66
24145172,61899.61
24180525,5236.77
24233194,47773.06
24256995,3297.43
24271802,5672.39
24297345,960
24366132,10844.51
24450875,12574.4
24459483,418.96
24488217,187405.32
24496804,765.69
24762700,1061993.05
24789711,4899.51
24919791,15381.8
24975245,39566.31
24976403,48421.12
24985523,606859.95
25019564,5388.47
25222703,33143.51
25360366,59386.73
25383503,195003.39
25389320,267479.36
25422552,613221.28
25539141,614326.66
25539955,397092.23
25623282,285801.75
25631905,4018.07
25747735,50516.16
25812115,48039.69
25982058,135867.05
26018876,2876.84
26108518,71091
26169644,10540.56
26179996,49
26221021,65649.95
26245036,53049.41
26272126,164892.93
26306625,7187.9
26333381,233571.94
26395684,471579.2
26438509,188025.47
26458455,749706.16
26481694,28178.16
26492070,7148.81
26506871,85723.64
26511587,37316.92
26516558,9151.74
26545100,59000.04
26722352,310
26741781,417456.14
26847058,181224.35
26860549,4643.97
26916038,166958.03
26942119,311224.32
26959084,25566.6
27031654,4060.58
27081735,4827
27150662,693641.44
27181386,103123.37
27209413,888761.66
27212266,280.52
27293869,33037
27350805,547531.02
27365596,142473.83
27408231,702541.35
27414350,18757.44
27472020,4863.67
27515811,32451.49
27551945,17405.13
27574071,21956.61
27622174,35567.08
27676991,995.89
27760596,468343.83
27818793,490078.62
27828144,44562.81
27896483,702680.45
27924498,333681.34
27974235,505318.91
28090635,58171
28138470,3707.85
28248134,43523.72
28282233,229330.04
28339857,1328219.7
28452089,5820.75
28573272,116509.56
28594309,7375.47
28607377,790
28646204,6587.82
28657107,16189.35
28728987,5585.05
28739509,1324622.94
28750320,49355.5
28816857,745064.55
28893004,19828.57
28913617,27751.66
29045892,1109.5
29078070,130574.18
29137451,14046.49
29140933,11210.08
29242763,194188.93
29339495,98956.83
29494551,365589.6
29581931,25542.85
29596491,2933.42
29597714,59076.8
29610180,3213.99
29657143,13014.99
29670499,83960.34
29715097,10580.09
29716885,146211.98
29727677,10747.97
29771706,42436.76
29843351,22593.63
29845484,22995.1
29872176,3288.27
29950663,2813.78
29987558,396730
30012435,44143.48
30018495,29381.77
30045549,19490.93
30080465,414531.16
30230515,54672.61
30251393,26452.83
30303878,17972.88
30372364,184531.92
30374423,727763.98
30386717,135765.35
30450961,296672.04
30452637,3568.1
30522514,1089.88
30631360,67227.9
30636775,40790.48
30682645,5397.1
30683071,36.5
30731164,7497.58
30771821,1994199.71
30771972,248786.66
30784815,171604.4
30830897,6978.09
30863883,7436.89
30870975,842378.61
30887858,17800.5
30903200,141697.6
30922324,215125.44
30943345,29738.67
30964456,5585.37
30996914,10883.98
31000283,78597.41
31020581,97669.5
31042678,2111.46
31109829,26624.17
31121902,175253.55
31128022,10529.6
31143114,4671.65
31152616,15496.36
31165296,32352.99
31178100,2376.97
31197630,81120.84
31262973,1356737.8
31300806,26817.58
31413717,102714.36
31428488,5133.76
31504495,63989.59
31511586,2936.1
31514907,99342.64
31543748,12091.88
31739752,2947.99
31744338,12458.02
31746857,318125.72
31751722,120221.73
31797594,1370.36
31863478,54190.39
31881207,14013.02
31906760,14480
32019665,176011.2
32058855,309526.7
32078227,22877.37
32193628,1830
32197861,37661.82
32210845,1458
32291346,27995.75
32303905,17380.89
32474655,931051.74
32546785,17524.77
32569115,360.03
32612687,3409.68
32753717,37199.76
32845734,829896.39
32867433,13341.34
32870663,8784.71
32890338,55418.39
33114096,762.95
33136751,317105.66
33301927,52187.89
33379085,1760.36
33381868,121743.16
33384825,37446.62
33397719,110769.95
33402012,1420.96
33414202,1252.91
33471745,50508.64
33511594,34311.33
33550546,16162.49
33608511,15962.56
33678564,17627.42
33757626,9504.05
33776103,35508.13
33843506,26843.9
33864642,9675.54
33906432,79991.02
33955448,36347.67
34042544,4387.4
34096772,17208.41
34120076,50736.43
34162433,9595.75
34178338,38758.4
34223370,4553.74
34255023,60937.63
34359608,3340.58
34367420,26989.4
34478384,23364.43
34507771,25710.38
34601747,18006.35
34644527,597230.49
34652592,85201.91
34707224,3568.2
34716789,4489.99
34728352,8357.92
34794964,86851.13
34851554,150339.18
34862745,3083.75
34941181,370
34945648,3699.02
35019887,8907.54
35043188,2436.86
35103685,124.6
35134197,663
35135766,44027.91
35148469,10819.94
35266020,16524.98
35398372,58194.56
35421212,2005
35463066,12513.2
35479467,40242.1
35518909,201489.03
35535643,678.39
35539823,46583.55
35543009,7263.94
35567804,10560.9
35638095,12503.93
35776192,524.97
35814352,3149.88
35821624,4943.59
35873293,2527.49
35910245,5032.01
36226408,28723.34
36597119,803.8